paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence
pmid-42630837,42630837,The impact of SGLT2 inhibitors on uric acid levels in patients with heart failure with preserved ejection fraction: integration of mechanisms and clinical evidence.,exclude,interaction_cofactor,incidental,incidental,"ed, with detailed degree values provided in Table 1 . Figure 2 PPI network. Node size and color represent degree, and edge width reflects interaction strength. Protein-protein interaction network diagram showing nodes labeled with gene names and connected by lines representing interactions. Node color intensity and size highlight GAPDH as the central hub, followed by ICAM1, MAPK1, CASP3, and others, with peripheral lighter nodes such as AHCY,",body,tighten_query,high
pmid-42618991,42618991,Ligand‑Based Virtual Screening Discovery of Thienopyrimidinone Derivatives as Allosteric nSMase2 Modulators and Antivirals Against West Nile Virus.,indirect,localization_retention,pathway_or_context,supporting,"rapid emergence of resistance and difficulties in achieving broad‐spectrum activity across different viral species. An alternative approach involves targeting host factors required for viral replication, known as host‐directed antivirals (HDAs) [3]. By interfering with cellular pathways hijacked by viruses, HDAs may provide broader antiviral activity and a higher barrier to resistance. Among host pathways involved in orthoflavi",Introduction,reviewer_calibration,medium
pmid-42582102,42582102,Immune cells harbor their own microbiome-derived metabolome: a new layer of immunometabolic regulation.,indirect,localization_retention,pathway_or_context,supporting,"system (1, 2). As examples, short-chain fatty acids (SCFAs) regulate peripheral Treg homeostasis and macrophage activation (3–5), secondary bile acids modulate innate immune responses through FXR and TGR5 (6, 7), and tryptophan-derived indole metabolites activate the aryl hydrocarbon receptor (AhR) to shape T cell fate (8, 9). Gut dysbiosis, a feature of chronic kidney disease (CKD), HIV-1 infection, inflammatory bowel disease, a",Introduction,reviewer_calibration,medium
pmid-42557952,42557952,In-Vitro Evaluation of HIV/SARS-CoV-2 Co-Infection Mediated Proteomic Changes in Astrocytes and Pericytes Reveals Altered Signaling Pathways Associated With Neurodegenerative Disorders.,direct,localization_retention,direct_target,central,"the cellular products released from SARS‐CoV‐2‐infected astrocytes and pericytes in the presence and absence of HIV were neurotoxic. Additionally, quantitative proteomics and subsequent gene set enrichment analysis of astrocytes and pericytes suggest dysregulation of energy metabolism pathways, adaptive immune responses, and synaptic transmissions associated with the development of neurodegenerative disorders. Overall, these f",Introduction,none,high
pmid-42538555,42538555,A multicenter prospective observational multi-omics study protocol to identify biomarkers for severe dengue: COMBAT study clinical protocol.,direct,localization_retention,direct_target,central,"es have fundamentally transformed the capacity to interrogate host responses to infectious diseases. The ability to simultaneously characterize transcriptomic, proteomic, and metabolomic alterations from a single biological sample offers an unprecedented systems-level perspective on host–pathogen interactions, enabling the identification of molecular signatures that transcend single-platform observations and more faithfully c",Background,none,high
pmid-42515657,42515657,"Chalcones as a Versatile Antiviral Scaffold: Molecular Targets, ADMET Profiles, and Translational Challenges.",background,localization_retention,incidental,incidental,"eAg) and post-entry replication stages in HCV; however, none of the studies conclusively defined specific viral enzymes (e.g., HBV polymerase, HCV NS3/NS5B) or host factors as primary molecular targets. The principal gaps therefore include the lack of target-based mechanistic validation, limited structure–activity relationship (SAR) integration across independent studies and scarce in vivo antiviral efficacy data beyond hepatop",5. Chalcones Against Hepatitis B and C Virus,tighten_query,medium
pmid-42515605,42515605,MicroRNAs Regulated by Pregnancy Target Antiviral and Cancer Immunity Overlapping with the HIV Interactome.,direct,localization_retention,direct_target,central,"are ~22-nucleotide long non-coding RNAs that control gene expression by binding to the 3′ untranslated regions of target mRNAs, leading to either inhibition of translation or degradation of the mRNA [10]. miRNAs are present not only within cells but also as cell-free molecules in body fluids such as blood, serum, and urine, where they are carried in extracellular vesicles or bound to proteins like Argonaute 2 that protect and t",1. Introduction,none,high
pmid-42515039,42515039,Omics-Level Approaches to Studying Gammaherpesvirus Infection.,indirect,ptm_degradation,pathway_or_context,supporting,"me replication, and the production of infectious virions [1]. Transitions between latency and lytic replication are regulated by a complex network of viral and host factors and are influenced by environmental and immunological cues. This dynamic nature between long-term latency and periodic acute lytic replication not only influences viral persistence and transmission but also the pathogenesis of GHV-associated diseases [11,12,1",1. Introduction,reviewer_calibration,medium
pmid-42507754,42507754,VRK3 promotes KSHV infection by suppressing the antiviral type I interferon response.,direct,localization_retention,direct_target,central,"expression. Upon reactivation, KSHV enters its lytic phase with robust viral replication to produce infectious virions. KSHV encodes viral factors and co-opts host factors to evade immune detection and dysregulate cellular processes that support viral persistence [1–3]. The innate immune system is the first line of antiviral defense. Pattern recognition receptors (PRRs) are sensors of pathogen-associated molecular patterns (PA",Introduction,none,high
pmid-42495535,42495535,Antiretroviral regimen and sex-specific metabolic heterogeneity in pediatric HIV.,direct,interaction_cofactor,direct_target,central,"WH face lifelong exposure to potentially toxic antiretrovirals (ARVs), a persisting viral reservoir, and associated chronic inflammation. Efforts to understand host factors influencing HIV persistence, particularly in genetics, immunology, and more recently, immunometabolism, have increased.2,3 Yet, the metabolic effects of HIV and ART remain poorly understood, especially in CLWH, due to cohort diversity and limited reproducibil",Introduction,none,medium
pmid-42494850,42494850,Host protein cleavage by Dengue and Zika virus NS3 proteases: from substrate identification to potential biological consequences.,direct,ptm_degradation,direct_target,central,"triad of DENV and ZIKV NS3 is His51-Asp75-Ser135, positioned in the NS2B-NS3 protease active site (Figures 1A, B) (Noble et al., 2012; Dang et al., 2022). NS2B cofactor activity is primarily mediated by a central hydrophilic region comprising approximately 35% of the full-length protein, indicating that the entire NS2B sequence is not required for protease function (Falgout et al., 1991; Erbel et al., 2006). Despite sharing",Introduction,none,high
pmid-42483197,42483197,Proteomic profiling of single extracellular vesicles reveals association of CD31(+) EV subpopulation with immune dysregulation in people living with HIV.,direct,localization_retention,direct_target,central,"to opportunistic infections, immune senescence, and non-AIDS comorbidities, including cardiovascular disease, neurocognitive impairment, and malignancies (6). Proteomic studies have further shown that the plasma proteome undergoes dynamic remodeling during hyperacute HIV-1 infection, and that early perturbations in inflammatory and immune-regulatory proteins may contribute to the molecular foundation basis of chronic immune",Introduction,none,high
pmid-42464737,42464737,Exploitation of host U2AF1 and U2AF2 splicing factors facilitates mosquito-borne orthoflavivirus infection across species.,indirect,ptm_degradation,pathway_or_context,supporting,"odes three structural and seven non-structural proteins, which collectively support the viral life cycle and host modulation, whereas the UTRs coordinate viral translation, replication, and regulation of the host innate immune response [3]. The life cycle of these viruses begins with the recognition and binding of cellular receptors, triggering internalization and membrane fusion [6]. Subsequently, the viral genomic RNA is rele",Introduction,reviewer_calibration,medium
pmid-42440905,42440905,Dibenzoacridinium derivatives: a new class of G-quadruplex ligands with anti-HIV-1 properties.,direct,interaction_cofactor,direct_target,central,"ide stock solutions to reach 10 μM of DNA/RNA and 20 μM of ligand, in 100 mM ammonium acetate. The solutions were incubated for 16 h at 4 °C before analysis by mass spectrometry. The affinity and stoichiometry of binding to oligonucleotides were determined by native electrospray ionization mass spectrometry in the negative ion mode on a Thermo Orbitrap Exactive mass spectrometer calibrated daily, and operated in negative mode, in a 4",Mass spectrometry,none,high
pmid-42430420,42430420,"HIV capsid inhibitors: Mechanisms, resistance, and therapeutic advances.",direct,localization_retention,direct_target,central,"is typically much slower and more protracted [13,14]. Building on these similarities, important distinctions in HIV-2 biology merit attention, particularly in viral entry, replication, and latency regulation. HIV-2 engages CD4 and co-receptors CCR5/CXCR4 alongside a broader array (such as CCR1, CCR2b, CCR3, CCR8, CXCR1, GPR1, apj, and us28), enabling CD4-independent infection in vitro, although this was not found to enhance pa",1. Introduction,none,medium
pmid-42429625,42429625,Comparative analysis of flavivirus sfRNA dynamics and secondary structure.,indirect,interaction_cofactor,pathway_or_context,supporting,"mprising 3′-UTR RSEs (Fig. 1A). The accumulation of these small subgenomic flavivirus RNAs (sfRNAs) enhances viral fitness in mammalian cells by inhibiting the interferon response (11, 12), preventing apoptosis (13), and counteracting RNAi (14). Furthermore, viruses unable to produce sfRNAs are highly attenuated in animal models (8, 15). While of long-standing interest, elucidating relationships between sfRNA structure and bio",INTRODUCTION,reviewer_calibration,low
pmid-42427447,42427447,CRISPR-PITA: An Imaging-Based CRISPR/dCas9 Assay to Determine Recruitment Directionality of Nuclear Proteins.,background,localization_retention,incidental,incidental,"bound to defined genomic loci, and, in some cases, can provide indirect information on chromatin-associated protein complexes, for example, through ChIP-based proteomic approaches that identify proteins co-associated with specific loci [2]. However, the technique requires fixation, chromatin fragmentation, and immunoprecipitation with high-quality antibodies that can recognize cross-linked proteins. In addition, when multipl",Background,tighten_query,medium
pmid-42418426,42418426,Independent proviral and antiviral host factors recognize the same capsid protein in divergent human herpesviruses.,indirect,ptm_degradation,pathway_or_context,supporting,"[3,4]. These limitations highlight the need for new antiviral strategies with different targets that are less susceptible to the emergence of drug resistance. Host factors that promote viral replication are attractive drug targets because viruses cannot readily mutate to escape. Understanding HSV-1–host interactions at the molecular level is therefore essential for identifying host factors that could be targeted by antiviral dr",Introduction,reviewer_calibration,medium
pmid-42411008,42411008,Importin 7 mediates the nuclear import of HIV-1 integrase via a specific interacting interface.,direct,localization_retention,direct_target,central,"and 105 for the MS/MS scans. Only ions with ‘peptide preferable’ profile were analyzed for MS/MS. Xcalibur software (Thermo Scientific) acquired all data. The proteomics data for both mass spectrometry experiments have been deposited to the ProteomeXchange Consortium (http://proteomecentral.proteomexchange.org) via the PRIDE partner repository [43], with the dataset identifier PXD066885 for the XL‐MS data and PXD068263 for HD",Crosslinking of the complex and Nano‐LC–MS/MS analysis,none,high
pmid-42391287,42391287,"GRHAL1, a novel lncRNA, regulates HIV-1 gene expression by modulating Tat- and Sp1-mediated HIV-1 LTR activation.",direct,ptm_degradation,direct_target,central,"In addition to the HIV accessory proteins, HIV-1 is dependent on host cellular factors to replicate and survive [13]. Several crucial host factors for HIV-1 biology have been identified in the last few decades. With the recent discovery of thousands of long non-coding RNAs (lncRNAs), there has been a paradigm shift in identifying the role of host factors in the HIV-1 life cycle [45]. In fact, several ln",Introduction,none,medium
pmid-42387508,42387508,Calcium and phosphorylation coordination is a novel mechanism that stabilises protein-complexes during HIV assembly.,direct,ptm_degradation,direct_target,central,"c mechanism across biology, including intrinsically disordered protein regions. Interactions of the viral structural precursor Pr55Gag with other viral and/or cellular proteins are critical for HIV assembly and release. We have recently shown that HIV piggybacks onto host cell Ca2+ sparks [4] to facilitate HIV synapse formation [5] (a key mechanism to support cell–cell stealth transmission of HIV within lymphoid tissue [10–12]). HIV",Introduction,none,high
pmid-42383738,42383738,Assembly of lipid droplet-associated ring structures in hepatitis C virus-infected cells via liquid-liquid phase separation (LLPS) and non-LLPS mechanisms.,direct,localization_retention,direct_target,central,"a tightly orchestrated interplay with host lipid and membrane metabolisms (1). After receptor-mediated entry and uncoating, the viral RNA is translated at the endoplasmic reticulum (ER) to generate a polyprotein that is cleaved into structural and nonstructural (NS) proteins, the latter reorganizing ER-derived membranes into replication organelles (2, 3). A hallmark of the HCV life cycle is its exploitation of cytosolic lipid droplets (",INTRODUCTION,none,high
pmid-42361119,42361119,Dissecting the host determinants of orthoflavivirus infection using QIC-seq.,indirect,ptm_degradation,pathway_or_context,supporting,"protein. Orthoflaviviruses are among a small group of positive-sense RNA viruses that lack a poly-A tail. Cotranslational insertion of the polyprotein into the endoplasmic reticulum (ER) membrane and cleavage by host and viral proteases result in significant membrane reorganization to create invaginated replication organelles, which play a central role in viral genome amplification [8]. Given the complexity of the polyprotein structure,",Introduction,reviewer_calibration,medium
pmid-42359813,42359813,HIV-1 gp120-induced lysosomal stress responses are controlled by TRPML1 redox sensors.,direct,localization_retention,direct_target,central,"HAND patients [12,13] and in neurons treated with gp120 [14], other short-lived reactive molecules may also be involved in HAND [13,15]. The reactive species interactome (RSI) is a relatively new concept of cellular stress signaling that involves reactive sulfur species (RSS), RNS, ROS, and reactive carbonyl species (RCS); the RSI also includes interactions between the various reactive species and their biological targets [16",Introduction,none,high
pmid-42347186,42347186,Blocking Host Factors IAP and DDX3 Activates HIV-1 Transcription and Increases Apoptosis Sensitivity of HIV-1 Infected Cells.,direct,ptm_degradation,direct_target,central,"vivo [5,6,7,8]. Therefore, it is likely that a combination of multiple agents is required to effectively reactivate and eliminate the reservoir [9]. Targeting host factors involved in HIV-1 replication processes might provide novel ways to reactivate HIV-1 or induce apoptosis of HIV-1 infected cells. The host factor RNA helicase DEAD-box polypeptide 3 (DDX3) is involved in the transport of HIV-1 mRNA from the nucleus [10] and h",1. Introduction,none,medium
pmid-42312836,42312836,Palmitoylation of CLDN12 regulated by ZDHHC7 and APT1/2 promotes hepatitis C virus entry.,direct,ptm_degradation,direct_target,central,"tively explore new therapeutic strategies that target different mechanisms of action, particularly those aimed at other stages of the viral life cycle, such as viral entry. Interventions targeting the viral entry phase have shown unique potential (4), not only holding promise for preventing both infection and reinfection but also potentially providing broader antiviral coverage, thus serving as an important complementary strate",INTRODUCTION,none,medium
pmid-42292375,42292375,Proteomic signals are not equal clinical phenotypes: redefining evidence standards in arbovirus-SARS-CoV-2 cross-reactivity.,indirect,expression_marker,pathway_or_context,supporting,"ility, but in whether the currently available evidence is sufficiently robust to support clinically actionable interpretations. The reliance on a small, pooled proteomic design masks individual biological variance, rendering the 18 identified differentially expressed proteins preliminary. Crucially, there is an uncertain alignment between in vitro antibody-dependent enhancement and actual clinical outcomes. Dual-seropositive",Introduction,reviewer_calibration,medium
pmid-42287495,42287495,The role of DPP4 in viral infections: from receptor biology to antiviral target.,indirect,localization_retention,pathway_or_context,supporting,"]. Additionally, on antigen-presenting cells, mDPP4 binds to Cav-1. This interaction enhances the expression, promotes T cell proliferation, and activates the NF-κB pathway [54, 77]. Because of these varied roles, DPP4 is widely regarded as a key marker of T cell function (Table 2). Table 2Viruses and DPP4Virus Family/GenusVirus speciesInteracting viral proteinDPP4 domain of interactionFunctional consequenceReferences R",DPP4 and the immune system,reviewer_calibration,medium
pmid-42282746,42282746,Modeling in vitro cell-to-cell spread of hepatitis C viral infection using an agent-based approach.,background,localization_retention,incidental,incidental,"remain unknown. Several of the factors involved in cell-free HCV entry have been shown to also be involved in HCV CTC spread. For example, blocking of the HCV entry factor Nieman-Pick C1 like 1 (NPC1L1) or Claudin 1 (CLDN1) potently inhibits not only initial cell-free HCV entry, but also subsequent CTC spread (1, 2, 5). Thus, these and other cellular factors involved in both means of HCV spread represent promising antiviral dru",INTRODUCTION,tighten_query,medium
pmid-42253925,42253925,Human Coronavirus 229E Uses ORF4/4a to Antagonize the Host Restriction Factor SERINC5.,indirect,ptm_degradation,pathway_or_context,supporting,"hey can cause severe complications in vulnerable populations, such as infants, elderly, and/or immunocompromised individuals [6]. A better understanding of the host factors that influence coronavirus infection and spread might help to develop new antiviral strategies and improve preparedness against future viral outbreaks. Host restriction factors play key roles in viral zoonoses and subsequent spread in human populations [10,",Introduction,reviewer_calibration,low
pmid-42231329,42231329,CircRNA profiles of extracellular vesicle-enriched fractions from ART suppressed pregnant women living with HIV identifies interactome networks key to inflammation and viral latency.,direct,localization_retention,direct_target,central,"actions [28]. CircRNAs are covalently closed continuous loop structures comprised of single-stranded RNA (lack 5’ and 3’ poly(A) ends) and generated from back splicing events of exons and/or introns [29]. Although circRNAs were originally considered artifactual, progression in sequencing and computational technologies has uncovered considerable gene regulatory function within physiological and pathological processes integra",Introduction,none,high
