paper_id,pmid,pmcid,doi,title,year,publication_types,final_decision,final_rationale,selection_basis,fulltext_access_status,normalized_source_type,normalized_path,review_confidence
pmid-42513228,42513228,PMC13415029,10.3390/molecules31142551,"Breast Cancer: Epidemiology, Molecular Classification, Diagnostics and Evolving Treatment Paradigms.",2026,Journal Article;Review,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13415029.json,high
pmid-42505223,42505223,PMC13409238,10.3390/curroncol33070421,"Evolving First-Line Endocrine Therapy in HR+/HER2- Metastatic Breast Cancer: CDK4/6 Inhibition, Biomarker-Guided Strategies and Emerging Therapeutic Paradigms.",2026,Journal Article;Review,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13409238.json,high
pmid-42500590,42500590,PMC13397341,10.32604/or.2026.085387,Research Advances in Drug Resistance Mechanisms to Anti-HER2 Therapy in HER2-Positive Breast Cancer.,2026,Journal Article;Review,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13397341.json,high
pmid-42396524,42396524,PMC13321338,10.21203/rs.3.rs-10011569/v1,Alirocumab Plus Cemiplimab in Immunorefractory NSCLC: A Single Arm Phase 2 Study.,2026,Journal Article;Preprint,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13321338.json,high
pmid-42391607,42391607,PMC13451091,10.1093/oncolo/oyag242,Molecular tumor board-guided osimertinib therapy in EGFR L858R/Q701L-mutant lung adenocarcinoma supported by functional validation.,2026,Journal Article;Case Reports,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13451091.json,high
pmid-42351448,42351448,PMC13298351,10.3390/diagnostics16121790,"Post-CDK4/6 Inhibitor Therapeutic Approaches in Hormone Receptor-Positive, HER2-Negative Metastatic Breast Cancer: Current Evidence and Emerging Strategies-A Narrative Review.",2026,Journal Article;Review,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13298351.json,high
pmid-42286162,42286162,PMC13338215,10.1038/s41598-026-57722-9,"Identification of PI3K alpha inhibitors through large-scale virtual screening and integrated molecular modeling, biophysical characterization, and ADMET profiling.",2026,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13338215.json,high
pmid-42180974,42180974,PMC13190948,10.21037/tcr-2025-1-2681,Identifying research gaps in PIK3CA-mutant breast cancer: a bibliometric analysis of evolving trends and clinical applications.,2026,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13190948.json,high
pmid-42152370,42152370,PMC13183117,10.1097/MD.0000000000048622,PIK3CA mutation detection by circulating tumor cell sequencing guides the effective PI3K inhibitor treatment of a patient with hormone receptor-positive breast cancer transformed into triple-negative breast cancer: A case report.,2026,Journal Article;Case Reports,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13183117.json,high
pmid-42147347,42147347,PMC13171783,10.3389/fphar.2026.1807304,Common oncogenic mutations in colorectal cancer: drivers of carcinogenesis and potential therapeutic targets.,2026,Journal Article;Review,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13171783.json,high
pmid-42137335,42137335,PMC13168110,10.3389/fphar.2026.1779073,Modulation of the PI3K/Akt signaling pathway by steroidal saponins: therapeutic implications in cancer.,2026,Journal Article;Review,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13168110.json,high
pmid-41989051,41989051,PMC13091980,10.1177/15330338261444965,"Economic Evaluation of Inavolisib Combined With Palbociclib-Fulvestrant for PIK3CA-Mutated, HR+/HER2- Advanced Breast Cancer in USA.",2026,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13091980.json,high
pmid-41459869,41459869,PMC13246316,10.31557/APJCP.2025.26.12.4549,Innovations in Oncology Diagnostics: Genetic Research and Liquid Biopsy as Tools of Personalised Medicine.,2025,Journal Article;Review,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13246316.json,high
pmid-41315778,41315778,PMC12663446,10.1038/s41598-025-26858-5,PIK75 effectively reverses PI3K‒AKT activation caused by palbociclib resistance and synergistically inhibits the progression of esophageal squamous cell carcinoma.,2025,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12663446.json,high
pmid-41280894,41280894,PMC12631382,10.3389/fimmu.2025.1693927,Mechanistic optimization of inavolisib combined with CDK4/6 inhibitors in the treatment of PIK3CA-mutated breast tumors.,2025,Journal Article;Review,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12631382.json,high
pmid-41258151,41258151,PMC12630906,10.1038/s41598-025-24625-0,Network centric identification of PI3K/Akt hub proteins as key oncogenic drivers and therapeutic targets.,2025,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12630906.json,high
pmid-41079023,41079023,PMC12514518,10.1016/j.eclinm.2025.103535,Efficacy and safety of systemic therapies following progression on CDK4/6 inhibitors in patients with HR+/HER2- metastatic breast cancer: a systematic review and network meta-analysis.,2025,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12514518.json,high
pmid-41037898,41037898,PMC12523064,10.1016/j.esmoop.2025.105808,"Cyclin-dependent kinase 4/6 inhibitors beyond progression in hormone receptor-positive, HER2-negative advanced breast cancer: a systematic review and meta-analysis (REIGNITE study).",2025,Journal Article;Meta-Analysis;Systematic Review,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12523064.json,high
pmid-41020523,41020523,PMC12477610,10.1093/bib/bbaf510,AdaSemb: an adaptive knowledge-driven deep learning framework integrating cancer protein assemblies for predicting PI3Kα inhibitor response and resistance.,2025,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12477610.json,high
pmid-40714513,40714513,PMC12314381,10.1016/j.esmoop.2025.105506,Circulating tumor DNA mutational landscape and dynamics after progression on a CDK4/6 inhibitor in the PACE phase II trial for metastatic HR-positive/HER2-negative breast cancer.,2025,"Journal Article;Clinical Trial, Phase II;Randomized Controlled Trial",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12314381.json,high
pmid-40705396,40705396,PMC12440240,10.1158/1078-0432.CCR-25-0201,"Durvalumab versus Physician's Choice Chemotherapy in Recurrent Ovarian Clear Cell Adenocarcinoma (MOCCA/APGOT-OV2/GCGS-OV3): A Multicenter, Randomized, Phase 2 Trial.",2025,"Journal Article;Randomized Controlled Trial;Clinical Trial, Phase II;Multicenter Study",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12440240.json,high
pmid-40686734,40686734,PMC12276056,10.1155/crog/1319978,Treatment of Ovarian Clear Cell Carcinoma: A Case of Successful Management With Targeted Therapies.,2025,Case Reports;Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12276056.json,high
pmid-40656600,40656600,PMC12254669,10.1177/17588359251353623,Understanding and overcoming CDK4/6 inhibitor resistance in HR+/HER2- metastatic breast cancer: clinical and molecular perspectives.,2025,Journal Article;Review,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12254669.json,high
pmid-40629431,40629431,PMC12236047,10.1186/s13058-025-02080-z,Mutational landscape of pure ductal carcinoma in situ and associations with disease prognosis and response to radiotherapy.,2025,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12236047.json,high
pmid-40481231,40481231,PMC12322174,10.1038/s41431-025-01885-y,First report of successful pregnancies after treatment with alpelisib for PIK3CA-related overgrowth spectrum.,2025,Journal Article;Case Reports,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12322174.json,high
pmid-40454641,40454641,PMC13496148,10.1056/NEJMoa2501796,Overall Survival with Inavolisib in PIK3CA-Mutated Advanced Breast Cancer.,2025,"Journal Article;Randomized Controlled Trial;Clinical Trial, Phase III;Multicenter Study",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13496148.json,high
pmid-40369610,40369610,PMC12079830,10.1186/s13058-025-02020-x,ESR1 testing on FFPE samples from metastatic lesions in HR + /HER2- breast cancer after progression on CDK4/6 inhibitor therapy.,2025,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12079830.json,high
pmid-40360478,40360478,PMC12075687,10.1038/s41467-025-59397-8,DiffInvex identifies evolutionary shifts in driver gene repertoires during tumorigenesis and chemotherapy.,2025,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12075687.json,high
pmid-40303291,40303291,PMC12035905,10.7150/ijbs.104850,The SGK3/GSK3β/β-catenin signaling promotes breast cancer stemness and confers resistance to alpelisib therapy.,2025,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12035905.json,high
pmid-39935426,39935426,PMC11810462,10.20517/cdr.2024.169,Optimizing therapeutic approaches for HR+/HER2- advanced breast cancer: clinical perspectives on biomarkers and treatment strategies post-CDK4/6 inhibitor progression.,2025,Journal Article;Review,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11810462.json,high
pmid-39762482,39762482,PMC11704227,10.1038/s41698-024-00793-6,Mechanisms of KRAS inhibitor resistance in KRAS-mutant colorectal cancer harboring Her2 amplification and aberrant KRAS localization.,2025,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11704227.json,high
