paper_id,pmid,pmcid,doi,title,year,final_decision,final_rationale,selection_basis,fulltext_access_status,normalized_source_type,normalized_path,review_confidence
pmid-42588596,42588596,PMC13465285,10.3390/cancers18152375,PAX3::FOXO1-Targeting PROTAC Induces Myogenic Differentiation of Fusion-Positive Rhabdomyosarcoma Cells.,2026,selected_for_reading,"PAX3::FOXO1-targeting PROTAC caused concentration-, time-, and proteasome-dependent degradation of endogenous fusion protein.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13465285.json,high
pmid-39424985,39424985,PMC11588656,10.1038/s41590-024-01995-7,A SIRT7-dependent acetylation switch regulates early B cell differentiation and lineage commitment through Pax5.,2024,selected_for_reading,"SIRT7 deacetylates Pax5 K198, sustains Pax5 protein stability, and proteasome inhibition reverses Pax5 loss.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11588656.json,high
pmid-38861275,38861275,PMC11174093,10.1167/iovs.65.6.17,IGF2BP2 Maintains Retinal Pigment Epithelium Homeostasis by Stabilizing PAX6 and OTX2.,2024,selected_for_reading,IGF2BP2 stabilizes PAX6 and OTX2 mRNAs through m6A-reader activity; useful comparator for abundance control but RNA-level rather than PAX protein turnover.,fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11174093.json,medium
pmid-38776375,38776375,PMC11145296,10.1073/pnas.2314619121,SUMO-specific protease 1 regulates germinal center B cell response through deSUMOylation of PAX5.,2024,selected_for_reading,SENP1 deSUMOylates PAX5 and maintains PAX5 protein level during germinal center B-cell responses.,fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11145296.json,high
pmid-37028762,37028762,PMC10164895,10.1016/j.jbc.2023.104680,The ups and downs of Pax6 in neural stem cells.,2023,selected_for_reading,Review/commentary summarizes Kat2a acetylation of Pax6 leading to RNF8 ubiquitination and proteasomal degradation.,fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC10164895.json,high
pmid-36791914,36791914,PMC10011063,10.1016/j.jbc.2023.103020,Histone acetyltransferase KAT2A modulates neural stem cell differentiation and proliferation by inducing degradation of the transcription factor PAX6.,2023,selected_for_reading,"KAT2A acetylates PAX6 and facilitates RNF8-mediated ubiquitination and degradation, influencing neural stem cell differentiation.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC10011063.json,high
pmid-35920196,35920196,PMC9827955,10.3724/abbs.2022043,PHD3 inhibits cell proliferation through hydroxylation of PAX2 at proline 9.,2022,selected_for_reading,PHD3 hydroxylates PAX2 at proline 9 and links this post-translational modification to growth inhibition.,fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC9827955.json,high
pmid-33777928,33777928,PMC7990767,10.3389/fcell.2021.606403,c-Abl Kinase Is Required for Satellite Cell Function Through Pax7 Regulation.,2021,selected_for_reading,c-Abl interacts with and phosphorylates Pax7; the paper places Pax7 in a post-translational regulation framework including ubiquitin-proteasome turnover.,fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC7990767.json,medium
pmid-33490904,33490904,PMC7811140,10.1016/j.isci.2020.101996,17-DMAG dually inhibits Hsp90 and histone lysine demethylases in alveolar rhabdomyosarcoma.,2021,selected_for_reading,PAX3-FOXO1 behaves as an Hsp90 client and is destabilized/degraded by geldanamycin and 17-DMAG.,fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC7811140.json,high
pmid-32826860,32826860,PMC7442823,10.1038/s41419-020-02848-5,"PAX6, modified by SUMOylation, plays a protective role in corneal endothelial injury.",2020,selected_for_reading,PAX6 SUMOylation is tested in corneal endothelial cells; useful comparator for PAX-family SUMO modification but less directly tied to degradation.,fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC7442823.json,medium
pmid-27144531,27144531,PMC4856311,10.1371/journal.pone.0154919,Ck2-Dependent Phosphorylation Is Required to Maintain Pax7 Protein Levels in Proliferating Muscle Progenitors.,2016,selected_for_reading,CK2-dependent Pax7 phosphorylation maintains Pax7 protein levels by preventing ubiquitin-proteasome downregulation.,fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC4856311.json,high
pmid-26304770,26304770,PMC4579044,10.1002/stem.2125,NEDD4 Regulates PAX7 Levels Promoting Activation of the Differentiation Program in Skeletal Muscle Precursors.,2015,selected_for_reading,NEDD4 ubiquitin ligase regulates Pax7 levels; proteasome inhibition and ubiquitination assays support turnover control.,fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC4579044.json,high
