paper_id,pmid,pmcid,doi,title,normalized_source_type,normalized_path,fulltext_decision,fulltext_rationale,mechanistic_relevance,objective_relevance,topic_centrality,review_confidence
pmid-42588596,42588596,PMC13465285,10.3390/cancers18152375,PAX3::FOXO1-Targeting PROTAC Induces Myogenic Differentiation of Fusion-Positive Rhabdomyosarcoma Cells.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13465285.json,keep,"PAX3::FOXO1-targeting PROTAC caused concentration-, time-, and proteasome-dependent degradation of endogenous fusion protein.",high,medium,central,high
pmid-42204622,42204622,PMC13419031,10.1186/s13062-026-00837-w,Dual inhibition of KDM4B and KDM5A disassembles the PAX3-FOXO1 transcriptional program in fusion-positive rhabdomyosarcoma.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13419031.json,drop,"Readable full text does not show a PAX8/PAX-family protein-level control mechanism in the requested folding, stability, localization, retention, accumulation, or degradation classes.",low,low,incidental,medium
pmid-40679038,40679038,PMC12401534,10.1242/dev.204848,Mutual repression between Pax2 and Snail factors regulates the epithelial/mesenchymal state during intermediate mesoderm differentiation.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12401534.json,drop,"Readable full text does not show a PAX8/PAX-family protein-level control mechanism in the requested folding, stability, localization, retention, accumulation, or degradation classes.",low,low,incidental,medium
pmid-40378211,40378211,PMC12083534,10.1126/sciadv.adu6632,Dual DNA demethylation mechanisms implement epigenetic memory driven by the pioneer factor PAX7.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12083534.json,drop,"Readable full text does not show a PAX8/PAX-family protein-level control mechanism in the requested folding, stability, localization, retention, accumulation, or degradation classes.",low,low,incidental,medium
pmid-39332789,39332789,PMC12970481,10.1016/j.ydbio.2024.09.009,"Pax2a, Pax5 and Cdh1-β-catenin, but not Wnt, protect sensory hair cells from destabilizing effects of fgf signaling on cell adhesion.",pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12970481.json,drop,"Readable full text does not show a PAX8/PAX-family protein-level control mechanism in the requested folding, stability, localization, retention, accumulation, or degradation classes.",low,low,incidental,medium
pmid-39488637,39488637,PMC11531527,10.1038/s41598-024-76732-z,TGF-β superfamily-induced transcriptional activation pathways establish the RAD52-dependent ALT machinery during malignant transformation of MPNSTs.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11531527.json,drop,"Readable full text does not show a PAX8/PAX-family protein-level control mechanism in the requested folding, stability, localization, retention, accumulation, or degradation classes.",low,low,incidental,medium
pmid-39424985,39424985,PMC11588656,10.1038/s41590-024-01995-7,A SIRT7-dependent acetylation switch regulates early B cell differentiation and lineage commitment through Pax5.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11588656.json,keep,"SIRT7 deacetylates Pax5 K198, sustains Pax5 protein stability, and proteasome inhibition reverses Pax5 loss.",high,medium,central,high
pmid-39015146,39015146,PMC11250905,10.1016/j.isci.2024.110241,The E3 ubiquitin ligase Nedd4L preserves skeletal muscle stem cell quiescence by inhibiting their activation.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11250905.json,drop,"Readable full text does not show a PAX8/PAX-family protein-level control mechanism in the requested folding, stability, localization, retention, accumulation, or degradation classes.",low,low,incidental,medium
pmid-38861275,38861275,PMC11174093,10.1167/iovs.65.6.17,IGF2BP2 Maintains Retinal Pigment Epithelium Homeostasis by Stabilizing PAX6 and OTX2.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11174093.json,keep,IGF2BP2 stabilizes PAX6 and OTX2 mRNAs through m6A-reader activity; useful comparator for abundance control but RNA-level rather than PAX protein turnover.,medium,medium,supporting,medium
pmid-38776375,38776375,PMC11145296,10.1073/pnas.2314619121,SUMO-specific protease 1 regulates germinal center B cell response through deSUMOylation of PAX5.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11145296.json,keep,SENP1 deSUMOylates PAX5 and maintains PAX5 protein level during germinal center B-cell responses.,high,medium,central,high
