paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence
pmid-42588596,42588596,PAX3::FOXO1-Targeting PROTAC Induces Myogenic Differentiation of Fusion-Positive Rhabdomyosarcoma Cells.,comparator,ptm_degradation,same_family_comparator,central,"PAX3::FOXO1-targeting PROTAC caused concentration-, time-, and proteasome-dependent degradation of endogenous fusion protein.",full text: PROTAC characterization and degradation results,expand_query,high
pmid-39424985,39424985,A SIRT7-dependent acetylation switch regulates early B cell differentiation and lineage commitment through Pax5.,comparator,ptm_degradation,same_family_comparator,central,"SIRT7 deacetylates Pax5 K198, sustains Pax5 protein stability, and proteasome inhibition reverses Pax5 loss.",full text: SIRT7 regulates Pax5 stability section,expand_query,high
pmid-38861275,38861275,IGF2BP2 Maintains Retinal Pigment Epithelium Homeostasis by Stabilizing PAX6 and OTX2.,comparator,stability_turnover,same_family_comparator,supporting,IGF2BP2 stabilizes PAX6 and OTX2 mRNAs through m6A-reader activity; useful comparator for abundance control but RNA-level rather than PAX protein turnover.,full text: IGF2BP2 affects mRNA stability section,none,medium
pmid-38776375,38776375,SUMO-specific protease 1 regulates germinal center B cell response through deSUMOylation of PAX5.,comparator,ptm_degradation,same_family_comparator,central,SENP1 deSUMOylates PAX5 and maintains PAX5 protein level during germinal center B-cell responses.,full text: SENP1 mediates PAX5 deSUMOylation,expand_query,high
pmid-37028762,37028762,The ups and downs of Pax6 in neural stem cells.,comparator,ptm_degradation,same_family_comparator,central,Review/commentary summarizes Kat2a acetylation of Pax6 leading to RNF8 ubiquitination and proteasomal degradation.,full text: Pax6 degradation discussion,expand_query,high
pmid-36791914,36791914,Histone acetyltransferase KAT2A modulates neural stem cell differentiation and proliferation by inducing degradation of the transcription factor PAX6.,comparator,ptm_degradation,same_family_comparator,central,"KAT2A acetylates PAX6 and facilitates RNF8-mediated ubiquitination and degradation, influencing neural stem cell differentiation.",full text: Figure 5 and mechanism results,expand_query,high
pmid-35920196,35920196,PHD3 inhibits cell proliferation through hydroxylation of PAX2 at proline 9.,comparator,ptm_degradation,same_family_comparator,central,PHD3 hydroxylates PAX2 at proline 9 and links this post-translational modification to growth inhibition.,title/full text mechanism framing,expand_query,high
pmid-33777928,33777928,c-Abl Kinase Is Required for Satellite Cell Function Through Pax7 Regulation.,comparator,ptm_degradation,same_family_comparator,supporting,c-Abl interacts with and phosphorylates Pax7; the paper places Pax7 in a post-translational regulation framework including ubiquitin-proteasome turnover.,full text: Pax7 phosphorylation results,expand_query,medium
pmid-33490904,33490904,17-DMAG dually inhibits Hsp90 and histone lysine demethylases in alveolar rhabdomyosarcoma.,comparator,protein_folding_chaperone,same_family_comparator,central,PAX3-FOXO1 behaves as an Hsp90 client and is destabilized/degraded by geldanamycin and 17-DMAG.,full text: Hsp90 inhibitor degradation results,add_rescue_query,high
pmid-32826860,32826860,"PAX6, modified by SUMOylation, plays a protective role in corneal endothelial injury.",comparator,ptm_degradation,same_family_comparator,supporting,PAX6 SUMOylation is tested in corneal endothelial cells; useful comparator for PAX-family SUMO modification but less directly tied to degradation.,full text: PAX6 SUMOylation assays,expand_query,medium
pmid-27144531,27144531,Ck2-Dependent Phosphorylation Is Required to Maintain Pax7 Protein Levels in Proliferating Muscle Progenitors.,comparator,ptm_degradation,same_family_comparator,central,CK2-dependent Pax7 phosphorylation maintains Pax7 protein levels by preventing ubiquitin-proteasome downregulation.,full text: phosphorylation and proteasome results,expand_query,high
pmid-26304770,26304770,NEDD4 Regulates PAX7 Levels Promoting Activation of the Differentiation Program in Skeletal Muscle Precursors.,comparator,ptm_degradation,same_family_comparator,central,NEDD4 ubiquitin ligase regulates Pax7 levels; proteasome inhibition and ubiquitination assays support turnover control.,full text: Pax7 ubiquitination and NEDD4 results,expand_query,high
pmid-24107448,24107448,Small molecule inhibition of PAX3-FOXO1 through AKT activation suppresses malignant phenotypes of alveolar rhabdomyosarcoma.,comparator,ptm_degradation,same_family_comparator,central,"Thapsigargin activates AKT, phosphorylates PAX3-FOXO1, inhibits transcriptional activity, and promotes proteasomal degradation.",full text: AKT phosphorylation and degradation results,expand_query,high
pmid-21145483,21145483,Taf1 regulates Pax3 protein by monoubiquitination in skeletal muscle progenitors.,comparator,ptm_degradation,same_family_comparator,central,"Taf1 mediates Pax3 monoubiquitination, enabling proteasomal degradation during skeletal muscle progenitor differentiation.",full text: Taf1/Pax3 monoubiquitination results,expand_query,high
pmid-20685816,20685816,Using protein design algorithms to understand the molecular basis of disease caused by protein-DNA interactions: the Pax6 example.,comparator,protein_folding_chaperone,same_family_comparator,supporting,Protein design analysis predicts many PAX6 paired-domain mutations impair protein stability or protein-DNA binding energy.,full text: Pax6 mutation stability analysis,none,medium
pmid-20221250,20221250,Papillorenal syndrome-causing missense mutations in PAX2/Pax2 result in hypomorphic alleles in mouse and human.,comparator,localization_retention,same_family_comparator,supporting,PAX2 missense variants are hypomorphic and include functional defects relevant to PAX-family protein localization/activity interpretation.,full text: PAX2 mutation functional assays,none,medium
