paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence,retention_role
pmid-42533127,42533127,Novel PAX2 variants and phenotypic heterogeneity in pediatric kidney disease: a single-center retrospective study.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;protein stability;stability,none,high,direct_mechanistic
pmid-42471738,42471738,PAX5 alleviates atherosclerosis by transcriptionally regulating GSDMD and inhibiting STAT3-mediated pyroptosis.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax5;ubiquitination;ubiquitination,none,high,direct_mechanistic
pmid-42446761,42446761,Biphenotypic Sinonasal Sarcomas with Recurrent PAX3::FOXO6 Gene Fusion.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax3;nuclear,reviewer_calibration,medium,exclude
pmid-42122242,42122242,"Hodgkin Reed-Sternberg Cells of Classic Hodgkin Lymphoma: Morphology, Phenotype, Genotype, and Cell of Origin.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation,tighten_query,medium,exclude
pmid-41414839,41414839,MYSM1 regulates the proliferation and differentiation of bovine skeletal muscle satellite cells via BRG1-mediated activation of the AKT/mTOR/NF-κB signaling pathway.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation,tighten_query,medium,exclude
pmid-41417852,41417852,Deciphering the pathogenicity of three NKX2-1 variants in ultra-severe forms of childhood interstitial lung disease.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax8;nuclear;localization;nuclear;pax8,none,medium,foundational_background
pmid-41054284,41054284,ARC-18 Improved Motor Performance Through Inhibiting ACLY-Mediated Smad2/3 Acetylation in a Model of Duchenne Muscular Dystrophy.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax,tighten_query,medium,exclude
pmid-40229275,40229275,Programmable protein stabilization with language model-derived peptide guides.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax3;protein degradation;post-translational;ubiquitination;phosphorylation;ubiquitination;degradation;post-translational,none,medium,foundational_background
pmid-40119193,40119193,"Author Correction: Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,title: matched pax5;protein degradation;degradation,none,high,direct_mechanistic
pmid-39862739,39862739,A promising future for breast cancer therapy with hydroxamic acid-based histone deacetylase inhibitors.,exclude,weak_overlap,incidental,incidental,Full text lacks sufficient overlap with the run-specific primary entities and declared evidence needs.,title/full text weak-overlap assessment,tighten_query,medium,exclude
pmid-39615561,39615561,Myofibers cultured in viscoelastic hydrogels reveal the effects of integrin-binding and mechanosensing on muscle satellite cells.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax7;nuclear,reviewer_calibration,medium,exclude
pmid-39424985,39424985,A SIRT7-dependent acetylation switch regulates early B cell differentiation and lineage commitment through Pax5.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax5;protein stability;half-life;stability,none,high,direct_mechanistic
pmid-39256480,39256480,Rack1 regulates B-cell development and function by binding to and stabilizing the transcription factor Pax5.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax5;nuclear;nuclear,none,high,direct_mechanistic
pmid-39108486,39108486,Programmable Protein Stabilization with Language Model-Derived Peptide Guides.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax3;protein degradation;post-translational;deubiquitination;ubiquitination;phosphorylation;ubiquitination;degradation,none,medium,foundational_background
pmid-39094501,39094501,In ovo betaine injection improves breast muscle growth in newly hatched goslings through FXR/IGF-2 pathway.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-38776375,38776375,SUMO-specific protease 1 regulates germinal center B cell response through deSUMOylation of PAX5.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax5;protein stability;stability,none,high,direct_mechanistic
pmid-38657865,38657865,PTIP UFMylation promotes replication fork degradation in BRCA1-deficient cells.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax,tighten_query,medium,exclude
pmid-38197297,38197297,Nuclear-localized androgen receptor content following resistance exercise training is associated with hypertrophy in males but not females.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax,tighten_query,medium,exclude
pmid-36860866,36860866,An arrayed CRISPR screen of primary B cells reveals the essential elements of the antibody secretion pathway.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax5;post-translational modification;protein degradation;post-translational;degradation;post-translational,none,medium,foundational_background
pmid-36825441,36825441,"E3 ligase Deltex2 accelerates myoblast proliferation and inhibits myoblast differentiation by targeting Pax7 and MyoD, respectively.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation,tighten_query,medium,exclude
pmid-36733766,36733766,Deciphering an isolated lung phenotype of NKX2-1 frameshift pathogenic variant.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax8;nuclear;phosphorylation;localization;nuclear;pax8,none,medium,foundational_background
pmid-36274837,36274837,Emerin interacts with histone methyltransferases to regulate repressive chromatin at the nuclear periphery.,exclude,weak_overlap,incidental,incidental,Full text lacks sufficient overlap with the run-specific primary entities and declared evidence needs.,title/full text weak-overlap assessment,tighten_query,medium,exclude
pmid-35920196,35920196,PHD3 inhibits cell proliferation through hydroxylation of PAX2 at proline 9.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;ubiquitination;ubiquitination,none,high,direct_mechanistic
pmid-34501239,34501239,Biologic and Therapeutic Implications of Genomic Alterations in Acute Lymphoblastic Leukemia.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax5;nuclear,reviewer_calibration,medium,exclude
pmid-33777928,33777928,c-Abl Kinase Is Required for Satellite Cell Function Through Pax7 Regulation.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;post-translational;phosphorylation,none,high,direct_mechanistic
pmid-33571646,33571646,Localization of T-cell factor 4 positive fibroblasts and CD206-positive macrophages during skeletal muscle regeneration in mice.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax7;nuclear,reviewer_calibration,medium,exclude
pmid-32401642,32401642,Autophagy in the physiological endometrium and cancer.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;nuclear;nuclear,none,high,direct_mechanistic
pmid-34746812,34746812,Co-ingestion of carbohydrate and whey protein induces muscle strength and myofibrillar protein accretion without a requirement of satellite cell activation.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax,tighten_query,medium,exclude
pmid-33117128,33117128,Gene Expression Profile at the Motor Endplate of the Neuromuscular Junction of Fast-Twitch Muscle.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax3;nuclear,reviewer_calibration,medium,exclude
pmid-32115872,32115872,USP7-dependent control of myogenin stability is required for terminal differentiation in skeletal muscle progenitors.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax7;post-translational modification;post-translational;protein stability;deubiquitination;ubiquitination;nuclear;ubiquitination,none,medium,foundational_background
