paper_id,pmid,pmcid,doi,title,normalized_source_type,normalized_path,fulltext_decision,fulltext_rationale,mechanistic_relevance,objective_relevance,topic_centrality,review_confidence
pmid-41541182,41541182,PMC12596637,10.1016/j.ijscr.2025.112106,"Ovarian mesonephric-like adenocarcinoma mimicking serous carcinoma: A case report integrating cytologic, frozen, histological, immunohistochemistry, and molecular analyses.",pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12596637.json,keep,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",high,high,central,high
pmid-41417852,41417852,PMC12716760,10.1371/journal.pone.0338446,Deciphering the pathogenicity of three NKX2-1 variants in ultra-severe forms of childhood interstitial lung disease.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12716760.json,drop,Readable full text is dominated by run-specific exclusion or deferred-context signals.,low,low,incidental,medium
pmid-41054284,41054284,PMC12501411,10.1002/jcsm.70081,ARC-18 Improved Motor Performance Through Inhibiting ACLY-Mediated Smad2/3 Acetylation in a Model of Duchenne Muscular Dystrophy.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12501411.json,drop,Readable full text is dominated by run-specific exclusion or deferred-context signals.,low,low,incidental,medium
pmid-40229275,40229275,PMC11997201,10.1038/s41467-025-58872-6,Programmable protein stabilization with language model-derived peptide guides.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11997201.json,drop,Readable full text is dominated by run-specific exclusion or deferred-context signals.,low,low,incidental,medium
pmid-40203790,40203790,PMC12013658,10.1016/j.tranon.2025.102389,CUL4B regulates thyroid cancer differentiation and treatment sensitivity by ubiquitinating ARID1A.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC12013658.json,drop,Readable full text is dominated by run-specific exclusion or deferred-context signals.,low,low,incidental,medium
pmid-39615561,39615561,PMC11949280,10.1016/j.actbio.2024.11.044,Myofibers cultured in viscoelastic hydrogels reveal the effects of integrin-binding and mechanosensing on muscle satellite cells.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11949280.json,drop,Readable full text is dominated by run-specific exclusion or deferred-context signals.,low,low,incidental,medium
pmid-39424985,39424985,PMC11588656,10.1038/s41590-024-01995-7,A SIRT7-dependent acetylation switch regulates early B cell differentiation and lineage commitment through Pax5.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11588656.json,keep,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",high,high,central,high
pmid-39108486,39108486,PMC11302690,10.21203/rs.3.rs-4670386/v1,Programmable Protein Stabilization with Language Model-Derived Peptide Guides.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11302690.json,drop,Readable full text is dominated by run-specific exclusion or deferred-context signals.,low,low,incidental,medium
pmid-39094501,39094501,PMC11345595,10.1016/j.psj.2024.104075,In ovo betaine injection improves breast muscle growth in newly hatched goslings through FXR/IGF-2 pathway.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11345595.json,keep,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",high,high,central,high
pmid-39056058,39056058,PMC11269857,10.1016/j.aninu.2024.04.012,Dietary fishmeal replacement by Clostridium autoethanogenum protein meal influences the nutritional and sensory quality of turbot (Scophthalmus maximus) via the TOR/AAR/AMPK pathways.,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11269857.json,drop,Readable full text is dominated by run-specific exclusion or deferred-context signals.,low,low,incidental,medium
