paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence,retention_role
pmid-42635598,42635598,"Elacestrant in Combination with Everolimus for Estrogen Receptor-Positive, HER2-Negative Previously Treated Advanced Breast Cancer: Results from ELEVATE.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;endocrine resistance;acquired resistance;clinical benefit;progression-free;progression,tighten_query,medium,exclude
pmid-42575435,42575435,Insulin receptor substrate 2 (IRS2) confers resistance to PI3K pathway inhibition in PIK3CA mutant breast cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: combinations;progression;resistance;biomarker;response;relapse,tighten_query,medium,exclude
pmid-42513228,42513228,"Breast Cancer: Epidemiology, Molecular Classification, Diagnostics and Evolving Treatment Paradigms.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;intrinsic resistance;bypass signaling;resistance,none,high,direct_mechanistic
pmid-42505223,42505223,"Evolving First-Line Endocrine Therapy in HR+/HER2- Metastatic Breast Cancer: CDK4/6 Inhibition, Biomarker-Guided Strategies and Emerging Therapeutic Paradigms.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;progression;resistance,none,high,direct_mechanistic
pmid-42500590,42500590,Research Advances in Drug Resistance Mechanisms to Anti-HER2 Therapy in HER2-Positive Breast Cancer.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;drug resistance;resistance,none,high,direct_mechanistic
pmid-42494592,42494592,Clinical features and treatment challenges of HER2-positive primary breast squamous cell carcinoma: a case report and literature review.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;acquired resistance;treatment failure;bypass signaling;progression-free;progression,tighten_query,medium,exclude
pmid-42456830,42456830,"Core genes drive treatment resistance in triple-negative breast cancer: characteristics, mechanisms, intervention strategies.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: feedback activation;combinations;resistance;response;pik3ca;mapk,tighten_query,medium,exclude
pmid-42445743,42445743,Precision Endocrine-Based Combinations After CDK4/6 Inhibitor Progression in HR-Positive Metastatic Breast Cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;compensatory signaling;endocrine resistance;acquired resistance;biomarker-defined;clinical benefit,tighten_query,medium,exclude
pmid-42405409,42405409,Medicinal Chemistry Perspectives on Molecular Targets and Targeted Therapeutic Strategies in Breast Cancer.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;progression;resistance,none,high,direct_mechanistic
pmid-42351448,42351448,"Post-CDK4/6 Inhibitor Therapeutic Approaches in Hormone Receptor-Positive, HER2-Negative Metastatic Breast Cancer: Current Evidence and Emerging Strategies-A Narrative Review.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;progression;resistance,none,high,direct_mechanistic
