round_id,query_id,query,raw_hit_count,collected_count,truncated_by_constraint,sample_size,sample_strategy,sampled_on_topic_count,sampled_noise_count,estimated_precision,dominant_noise_classes,missing_concepts,recall_signals,decision,revision_rationale
collection,q1,"((KSHV[tiab] OR ""Kaposi sarcoma-associated herpesvirus""[tiab] OR ""human herpesvirus 8""[tiab] OR HHV-8[tiab]) AND (""protein interaction""[tiab] OR ""protein interactions""[tiab] OR interactome[tiab] OR ""host factor""[tiab] OR ""host factors""[tiab] OR ""host pathway""[tiab] OR ""host pathways""[tiab] OR ""mass spectrometry""[tiab] OR proteomic*[tiab] OR ""affinity purification""[tiab] OR AP-MS[tiab]))",266,266,no,,,,,,,,,accepted_for_collection,
collection,q2,"((dengue[tiab] OR DENV[tiab]) AND (""protein interaction""[tiab] OR ""protein interactions""[tiab] OR interactome[tiab] OR ""host factor""[tiab] OR ""host factors""[tiab] OR ""host pathway""[tiab] OR ""host pathways""[tiab] OR ""mass spectrometry""[tiab] OR proteomic*[tiab] OR ""affinity purification""[tiab] OR AP-MS[tiab]))",891,891,no,,,,,,,,,accepted_for_collection,
collection,q3,"((""hepatitis C virus""[tiab] OR HCV[tiab]) AND (""protein interaction""[tiab] OR ""protein interactions""[tiab] OR interactome[tiab] OR ""host factor""[tiab] OR ""host factors""[tiab] OR ""host pathway""[tiab] OR ""host pathways""[tiab] OR ""mass spectrometry""[tiab] OR proteomic*[tiab] OR ""affinity purification""[tiab] OR AP-MS[tiab]))",1726,1726,no,,,,,,,,,accepted_for_collection,
collection,q4,"((coxsackievirus[tiab] OR ""coxsackie virus""[tiab] OR CVB[tiab]) AND (""protein interaction""[tiab] OR ""protein interactions""[tiab] OR interactome[tiab] OR ""host factor""[tiab] OR ""host factors""[tiab] OR ""host pathway""[tiab] OR ""host pathways""[tiab] OR ""mass spectrometry""[tiab] OR proteomic*[tiab] OR ""affinity purification""[tiab] OR AP-MS[tiab]))",200,200,no,,,,,,,,,accepted_for_collection,
collection,q5,"((HIV[tiab] OR ""human immunodeficiency virus""[tiab]) AND (""virus-host interactome""[tiab] OR ""viral interactome""[tiab] OR interactome[tiab] OR AP-MS[tiab] OR ""affinity purification mass spectrometry""[tiab] OR BioID[tiab] OR ""proximity labeling""[tiab]))",90,90,no,,,,,,,,,accepted_for_collection,
collection,q6,"((HIV[tiab] OR ""human immunodeficiency virus""[tiab]) AND (""host factor""[tiab] OR ""host factors""[tiab] OR ""restriction factor""[tiab] OR ""dependency factor""[tiab] OR ""host pathway""[tiab] OR ""host pathways""[tiab]) AND (mechanism*[tiab] OR pathway*[tiab] OR interactome[tiab] OR proteomic*[tiab] OR ""protein interaction""[tiab]))",965,965,no,,,,,,,,,accepted_for_collection,
collection,q7,"((HIV[tiab] OR ""human immunodeficiency virus""[tiab]) AND (proteomic*[tiab] OR ""mass spectrometry""[tiab]) AND (host[tiab] OR cellular[tiab]) AND (factor*[tiab] OR pathway*[tiab] OR interact*[tiab]))",395,395,no,,,,,,,,,accepted_for_collection,
collection,q8,"((Ebola[tiab] OR EBOV[tiab]) AND (""protein interaction""[tiab] OR ""protein interactions""[tiab] OR interactome[tiab] OR ""host factor""[tiab] OR ""host factors""[tiab] OR ""host pathway""[tiab] OR ""host pathways""[tiab] OR ""mass spectrometry""[tiab] OR proteomic*[tiab] OR ""affinity purification""[tiab] OR AP-MS[tiab]))",273,273,no,,,,,,,,,accepted_for_collection,
collection,q9,"((KSHV[tiab] OR ""Kaposi sarcoma-associated herpesvirus""[tiab] OR dengue[tiab] OR DENV[tiab] OR ""hepatitis C virus""[tiab] OR HCV[tiab] OR coxsackievirus[tiab] OR HIV[tiab] OR Ebola[tiab] OR EBOV[tiab]) AND (AP-MS[tiab] OR ""affinity purification mass spectrometry""[tiab] OR BioID[tiab] OR ""proximity labeling""[tiab] OR interactome[tiab] OR ""virus-host interactome""[tiab] OR ""viral interactome""[tiab]))",192,192,no,,,,,,,,,accepted_for_collection,
collection,q10,"((""virus-host""[tiab] OR ""host-virus""[tiab] OR ""host pathogen""[tiab] OR ""host-pathogen""[tiab]) AND (interactome[tiab] OR proteomic*[tiab] OR ""protein interaction""[tiab] OR ""host pathway""[tiab] OR ""host factor""[tiab]) AND (KSHV[tiab] OR ""Kaposi sarcoma-associated herpesvirus""[tiab] OR dengue[tiab] OR DENV[tiab] OR ""hepatitis C virus""[tiab] OR HCV[tiab] OR coxsackievirus[tiab] OR HIV[tiab] OR Ebola[tiab] OR EBOV[tiab]))",201,201,no,,,,,,,,,accepted_for_collection,
