paper_id,pmid,doi,title,abstract,year,source_query,abstract_reviewer_decision,abstract_reviewer_rationale,abstract_reviewer2_decision,abstract_reviewer2_rationale,abstract_reviewer2_confidence,promotion_decision
pmid-42642241,42642241,10.1016/j.jvoice.2026.08.003,Quercetin Attenuates Vocal Fold Fibrosis via PI3K/AKT and MAPK Pathways: An Integrative Network Pharmacology and Experimental Study.,"OBJECTIVE: This study combined network pharmacology with in vivo and in vitro experiments to investigate the molecular mechanisms of quercetin against vocal fold fibrosis (VFI).

METHODS: Common targets of quercetin and VFI were identified via network pharmacology. A protein-protein interaction network was constructed, and key pathways were analyzed. Molecular docking was performed to evaluate binding affinity between quercetin and core targets. A rat model of vocal fold scar (in vivo) and TGF-β1-stimulated vocal fold fibroblasts (in vitro) were used to assess the expression of PI3K/AKT and MAPK pathway proteins, as well as changes in cell proliferation, migration, and apoptosis.

RESULTS: A total of 92 common targets were identified, with significant enrichment in the PI3K/AKT and MAPK pathways. Molecular docking showed binding energies < -5 kcal/mol for quercetin with PI3K, AKT1, and p38. In vivo, quercetin significantly inhibited the expression of PI3K, AKT, and p38 (P < 0.05). Moreover, quercetin and the PI3K inhibitor Alpelisib both significantly improved extracellular matrix organization, as evidenced by increased Energy, Correlation, and Homogeneity, and decreased Entropy and Contrast in gray-level co-occurrence matrix analysis (P < 0.05). Both treatments also restored hyaluronic acid and elastic fiber content in scarred vocal folds (P < 0.05). In vitro, quercetin suppressed the proliferation and migration of vocal fold fibroblasts (P < 0.05) and promoted apoptosis (P < 0.05).

CONCLUSION: Quercetin exerts anti-fibrotic effects on vocal folds by multi-target inhibition of PI3K/AKT and MAPK signaling pathways, thereby modulating fibroblast behavior, preserving extracellular matrix integrity, and restoring key matrix components such as hyaluronic acid and elastic fibers.",2026,"((alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract]) AND (combination[Title/Abstract] OR synergistic[Title/Abstract] OR synergy[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR resensitization[Title/Abstract] OR endocrine[Title/Abstract] OR HER2[Title/Abstract] OR ERBB[Title/Abstract] OR CDK4[Title/Abstract] OR mTOR[Title/Abstract] OR MEK[Title/Abstract] OR MAPK[Title/Abstract]))",include,"Names a PI3K-alpha inhibitor and links it to response, resistance, sensitivity, adaptive signaling, biomarker, or combination evidence.",overturn_to_exclude,"Overturn to exclude: the abstract is mainly review, access/economic, formulation, broad clinical, or unrelated pathway context without actionable resistance or sensitization mechanism.",medium,stop
pmid-42635598,42635598,10.1158/1078-0432.CCR-26-1816,"Elacestrant in Combination with Everolimus for Estrogen Receptor-Positive, HER2-Negative Previously Treated Advanced Breast Cancer: Results from ELEVATE.","PURPOSE: Treatment options for progression on first-line endocrine therapy (ET)+CDK4/6i for ER-positive/HER2-negative (ER+/HER2-) advanced breast cancer (ABC) include ET plus targeted agents (CDK4/6i or PI3K/AKT/mTOR-pathway inhibitors). Elacestrant is the first single-agent oral SERD that significantly improved progression-free survival (PFS) versus standard-of-care ET in ESR1-mutated and overall ER+/HER2- ABC populations.

PATIENTS AND METHODS: This phase 1b/2, umbrella trial enrolled patients with ER+/HER2- ABC who received 1-2 lines of ET+CDK4/6i (including prior fulvestrant and primary endocrine resistance) and no prior chemotherapy for ABC. Patients received elacestrant with everolimus, alpelisib, capivasertib, abemaciclib, ribociclib, or palbociclib. We evaluated PFS of elacestrant plus everolimus.

RESULTS: In phase 1b (n=23), the optimal RP2D was determined as elacestrant 345 mg plus everolimus 7.5 mg. The phase 2 patient population (n=50) included: 100% prior CDK4/6i, 50% prior fulvestrant, 72% visceral metastasis, 20% primary endocrine resistance, 42% ESR1mut, 50% PIK3CAmut. Median PFS was 8.3 months (95% CI:4.0-10.2) in all patients; 8.3 months (95% CI:3.5-12.9) in ESR1mut, 9.0 months (95% CI:4.2-12.7) in ESR1wt, 8.3 months (95% CI:3.6-10.2) in PIK3CAmut, and 9.4 months (95% CI:4.0-NR) in PIK3CAwt. Adverse events (AEs) were consistent with known safety of everolimus plus SOC ET. Most common AEs were grade 1-2. Any AE leading to drug withdrawal or dose reduction was 6% and 2%, respectively.

CONCLUSIONS: Elacestrant plus everolimus showed a clinically meaningful PFS benefit across clinical/genomic subgroups, irrespective of ESR1 or PIK3CA-mutation status. Elacestrant has the potential to become an ET backbone for combinations to inhibit the PI3K/AKT/mTOR-pathway with everolimus as a promising all-oral treatment.",2026,"((PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR p110alpha[Title/Abstract] OR ""p110 alpha""[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K alpha inhibitor""[Title/Abstract] OR ""PI3K-alpha inhibitor""[Title/Abstract]) AND (resistance[Title/Abstract] OR resistant[Title/Abstract] OR sensitivity[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR combination[Title/Abstract] OR feedback[Title/Abstract] OR bypass[Title/Abstract])); ((alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract]) AND (combination[Title/Abstract] OR synergistic[Title/Abstract] OR synergy[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR resensitization[Title/Abstract] OR endocrine[Title/Abstract] OR HER2[Title/Abstract] OR ERBB[Title/Abstract] OR CDK4[Title/Abstract] OR mTOR[Title/Abstract] OR MEK[Title/Abstract] OR MAPK[Title/Abstract]))",include,"Names a PI3K-alpha inhibitor and links it to response, resistance, sensitivity, adaptive signaling, biomarker, or combination evidence.",confirm_include,"Confirm include: names a PI3K-alpha inhibitor and gives response, resistance, biomarker, adaptive-signaling, or combination/sensitization context.",high,advance_to_import
pmid-42622406,42622406,10.1128/aem.01232-26,"Influenza A deletion-containing viral genome production is altered by metabolites, metabolic signaling molecules, and cyanobacterial extracts.","RNA virus infections generate abundant non-standard viral genomes that have been associated with milder clinical outcomes, leading to research into harnessing them as novel antivirals. We recently showed that altering host cell metabolism away from pro-growth pathways using alpelisib increased the production of influenza A nonstandard viral genomes (specifically deletion-containing viral genomes, DelVGs). To uncover more drugs that could induce increased DelVGs, we subjected influenza infections (A/H1N1 and A/H3N2) to a screen of metabolites, metabolic signaling molecules, and cyanobacterium-derived biologics, and quantified DelVGs and total viral genomes using long-read sequencing. We show that metabolites and signaling molecules of host cell central carbon metabolism can significantly alter DelVG production early in influenza A infection. Adenosine emerged as a potent inducer of defective viral genomes, significantly amplifying DelVG production across both subtypes. Insulin had similar effects, albeit subtype-specific, predominantly enhancing polymerase segment DelVGs in A/H3N2 infections. Tricarboxylic acid (TCA) cycle inhibitors, 4-octyl itaconate and UK5099, along with the purine analog favipiravir, increased total viral genome production across subtypes. Cyanobacterial extracts primarily affected DelVGs and total viral genome production in A/H3N2 infections, with a specific, almost complete shutdown of influenza antigenic segments. These results suggest new avenues for antiviral intervention, including host metabolic pathways (PI3K-AKT, Ras-MAPK pathways, TCA, and purine-pyrimidine) and cyanotherapeutics that affect DelVG production. Our study advances our fundamental understanding of DelVG production mechanisms and highlights the potential of targeting host metabolism to develop broad-spectrum influenza therapeutics.IMPORTANCEAntivirals currently available for flu infections lack effectiveness or face rapid emergence of antiviral resistance. Flu infections naturally produce nonstandard viral genomes, which interfere with viral reproduction and lead to milder clinical outcomes. Here, we test drugs that alter the host metabolism to induce influenza infections to produce more of this ""natural antiviral."" We find that molecules generated from human metabolism, particularly adenosine, can increase these deletion-containing viral genomes (DelVGs) and also find evidence that biological extracts from cyanobacteria have antiviral effects. Our findings suggest that the social interactions observed between defective and full-length viral genomes depend not only on the viral actors but can also be altered by the stage provided by the host. Our findings have potential applications to increasing DelVG production for research or industrial uses; employing metabolites as biomarkers for flu infection severity; and using drugs to alter host metabolism to steer influenza infections to milder outcomes.",2026,"((alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract]) AND (combination[Title/Abstract] OR synergistic[Title/Abstract] OR synergy[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR resensitization[Title/Abstract] OR endocrine[Title/Abstract] OR HER2[Title/Abstract] OR ERBB[Title/Abstract] OR CDK4[Title/Abstract] OR mTOR[Title/Abstract] OR MEK[Title/Abstract] OR MAPK[Title/Abstract]))",include,"Names a PI3K-alpha inhibitor and links it to response, resistance, sensitivity, adaptive signaling, biomarker, or combination evidence.",confirm_include,"Confirm include: names a PI3K-alpha inhibitor and gives response, resistance, biomarker, adaptive-signaling, or combination/sensitization context.",high,advance_to_import
pmid-42621428,42621428,10.1016/j.bvth.2026.100192,Sirolimus outperforms alpelisib in models of NRAS (Q61R) -driven vascular overgrowth.,"The somatic neuroblastoma rat sarcoma virus gene p.Q61R mutation (NRAS Q61R ) occurs in patients with kaposiform lymphangiomatosis (KLA), a highly morbid and potentially fatal complex lymphatic disease. First-line therapy for KLA is mammalian target of rapamycin (mTOR) inhibitor sirolimus, although partial responses and disease progression can still occur. Alpelisib is a US Food and Drug Administration-approved p110α catalytic subunit of phosphoinositide 3-kinase α (PIK3CA) inhibitor for severe manifestations of PIK3CA-related overgrowth spectrum, and inhibits upstream of sirolimus in the phosphoinositide 3-kinase (PI3K)-mTOR pathway. Recent clinical interest in expanding the indications for alpelisib prompted this preclinical study, which aimed to determine whether alpelisib could serve as a more effective treatment for patients with KLA than sirolimus, given its upstream activity in the PI3K-mTOR signaling pathway. We compared the efficacy of sirolimus and alpelisib using NRAS Q61R endothelial cell models through in vitro assessments of pathway inhibition, cell proliferation, and migration, as well as in vivo xenograft studies. Sirolimus, at picomolar doses, outperformed alpelisib administered at micromolar concentrations across all in vitro assays and at lower doses in vivo. The use of alpelisib to treat patients with endothelial NRAS Q61R mutation may not offer any advantages over sirolimus.",2026,"((alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract]) AND (combination[Title/Abstract] OR synergistic[Title/Abstract] OR synergy[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR resensitization[Title/Abstract] OR endocrine[Title/Abstract] OR HER2[Title/Abstract] OR ERBB[Title/Abstract] OR CDK4[Title/Abstract] OR mTOR[Title/Abstract] OR MEK[Title/Abstract] OR MAPK[Title/Abstract]))",include,"Names a PI3K-alpha inhibitor and links it to response, resistance, sensitivity, adaptive signaling, biomarker, or combination evidence.",overturn_to_exclude,"Overturn to exclude: the abstract is mainly review, access/economic, formulation, broad clinical, or unrelated pathway context without actionable resistance or sensitization mechanism.",medium,stop
pmid-42615257,42615257,10.1002/lary.70826,Orbital Lymphatic Malformations Are Associated With Intracranial Vascular Anomalies.,"OBJECTIVES: Orbital lymphatic malformations (OLMs) are a rare type of lymphatic malformation involving the soft tissues within the bony orbit. OLMs present specific treatment challenges and cause significant morbidity. The contribution of pathologic genetic variants and potential association of intracranial vascular anomalies with OLMs has yet to be described. We hypothesized that (1) OLMs are indicators of underlying cerebrofacial venous metameric syndrome (CVMS) and are associated with intracranial vascular anomalies, and (2) OLMs are caused by PIK3CA variants and are candidates for targeted medical therapy.

METHODS: Retrospective case review was performed for patients with OLMs treated at a single institution from 2000 to 2025. Diagnosis of CVMS was made via magnetic resonance imaging (MRI) based on established criteria of segmental distribution of ocular, facial, and cerebral vascular malformations. Symptoms, MRI and genetic findings, and management are described.

RESULTS: Seven of 412 patients with head and neck lymphatic malformations had OLM. Common symptoms included eye swelling (n = 7), ptosis (n = 3), and headache (n = 5). All patients were diagnosed with CVMS on MRI. All patients underwent surgical resection and were candidates for targeted medical therapy after tissue-based DNA sequencing revealed ""hotspot"" PIK3CA variants p.E542K (n = 4) and p.H1047R (n = 3). Five patients were started on alpelisib, resulting in symptom improvement at 6 months of treatment.

CONCLUSION: OLMs were associated with intracranial vascular anomalies, meeting radiographic criteria for CVMS. All patients had ""hotspot"" PIK3CA variants on tissue-based genetic testing. Screening for intracranial vascular anomalies and targeted medical therapy with PI3K/AKT/mTOR pathway inhibitors should be considered in OLM management.",2026,"((alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract]) AND (combination[Title/Abstract] OR synergistic[Title/Abstract] OR synergy[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR resensitization[Title/Abstract] OR endocrine[Title/Abstract] OR HER2[Title/Abstract] OR ERBB[Title/Abstract] OR CDK4[Title/Abstract] OR mTOR[Title/Abstract] OR MEK[Title/Abstract] OR MAPK[Title/Abstract]))",include,"Names a PI3K-alpha inhibitor and links it to response, resistance, sensitivity, adaptive signaling, biomarker, or combination evidence.",overturn_to_exclude,"Overturn to exclude: the abstract is mainly review, access/economic, formulation, broad clinical, or unrelated pathway context without actionable resistance or sensitization mechanism.",medium,stop
pmid-42615210,42615210,10.1016/j.gim.2026.102686,Current Status of Genetic Testing and Mosaic Variant Assessment in Somatic Overgrowth and Vascular Anomalies: Insights from the Cancer Genomics Consortium Working Group.,"Somatic overgrowth and vascular anomalies are often present at birth but may only be clinically recognized later in life. Affected tissues commonly include veins and arteries, skin, adipose tissue, bone, and brain, resulting in a broad phenotypic spectrum encompassing vascular malformations, lipomatous and melanocytic nevus syndromes, skeletal abnormalities, and brain malformations. These conditions are typically caused by postzygotic variants present in a subset of cells due to mosaicism. The developmental timing and cell lineages involved determine the extent and distribution of affected tissues. While germline variants and their clinical consequences are well characterized, the impact of somatic mosaic variants remains less well understood. Because these variants are often absent or present at very low levels in blood, sensitive assays and analysis of affected tissues are required for detection. Advances in high-depth next-generation sequencing have enabled reliable identification of low-level mosaic variants and are central to the genetic diagnosis of these disorders. Numerous causative genes have been described, most notably activating variants in the PI3K-MTOR and RAS-MAPK pathways. Genetic testing provides diagnostic confirmation, informs prognosis and recurrence risk, and in some cases enables targeted therapy, such as alpelisib for PIK3CA-related overgrowth spectrum. However, testing strategies vary across laboratories in gene panel content, sequencing depth, and tissue requirements, leading to inconsistent diagnostic approaches. This review summarizes known causative genes, current testing methodologies, variant interpretation and reporting practices, major genomic alteration classes and recurrent hotspot variants, and highlights key knowledge gaps from clinical and laboratory perspectives.",2026,"((alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract]) AND (combination[Title/Abstract] OR synergistic[Title/Abstract] OR synergy[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR resensitization[Title/Abstract] OR endocrine[Title/Abstract] OR HER2[Title/Abstract] OR ERBB[Title/Abstract] OR CDK4[Title/Abstract] OR mTOR[Title/Abstract] OR MEK[Title/Abstract] OR MAPK[Title/Abstract]))",include,"Names a PI3K-alpha inhibitor and links it to response, resistance, sensitivity, adaptive signaling, biomarker, or combination evidence.",overturn_to_exclude,"Overturn to exclude: the abstract is mainly review, access/economic, formulation, broad clinical, or unrelated pathway context without actionable resistance or sensitization mechanism.",medium,stop
pmid-42565132,42565132,10.4103/jiaps.jiaps_58_26,Genotype-directed Targeted Therapy for Pediatric Vascular Malformations: A Systematic Review.,"BACKGROUND: Pediatric vascular malformations are rare, heterogeneous disorders increasingly driven by somatic mutations affecting key molecular pathways, particularly the PI3K-AKT-mTOR and RAS-MAPK signaling cascades. Advances in genomic profiling have enabled the use of targeted pharmacological therapies, but the available evidence remains fragmented.

OBJECTIVE: To systematically review the clinical outcomes and safety of genotype-directed targeted systemic therapies in pediatric patients with genetically characterized vascular malformations.

METHODS: A systematic literature search was conducted in PubMed, Embase, and Scopus from database inception to November 21, 2025. Eligible studies included case reports, case series, cohort studies, and prospective investigations reporting genotype-directed targeted therapy in patients aged 0-18 years. Data on genetic alterations, targeted therapies, clinical and radiologic outcomes, and adverse events were extracted and synthesized qualitatively.

RESULTS: Fifty-two studies were included, reporting pediatric patients from the neonatal period to 18 years of age. The most frequently identified genetic alterations involved the PI3K-AKT-mTOR and RAS-MAPK pathways, predominantly PIK3CA and RAS-pathway mutations. Sirolimus, alpelisib, and trametinib were the most commonly used targeted agents. Many patients demonstrated clinical improvement and radiologic stabilization or lesion reduction following targeted therapy. Grade 3-4 adverse events were uncommon and generally manageable with dose modification or temporary treatment interruption.

CONCLUSIONS: Genotype-directed targeted therapies appear to provide clinical and radiologic benefit in pediatric vascular malformations with acceptable safety profiles. However, the current evidence is largely derived from observational studies and requires prospective validation through standardized investigations.",2026,"((alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract]) AND (combination[Title/Abstract] OR synergistic[Title/Abstract] OR synergy[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR resensitization[Title/Abstract] OR endocrine[Title/Abstract] OR HER2[Title/Abstract] OR ERBB[Title/Abstract] OR CDK4[Title/Abstract] OR mTOR[Title/Abstract] OR MEK[Title/Abstract] OR MAPK[Title/Abstract]))",include,"Names a PI3K-alpha inhibitor and links it to response, resistance, sensitivity, adaptive signaling, biomarker, or combination evidence.",overturn_to_exclude,"Overturn to exclude: the abstract is mainly review, access/economic, formulation, broad clinical, or unrelated pathway context without actionable resistance or sensitization mechanism.",medium,stop
pmid-42543051,42543051,10.1016/j.breast.2026.104889,Cost-effectiveness of inavolisib-based therapy in PIK3CA-mutated advanced breast cancer in the USA.,"PURPOSE: Inavolisib plus palbociclib and fulvestrant has been approved for treating PIK3CA-mutated, hormone receptor-positive human epidermal growth factor receptor 2-negative (HR + HER2-), advanced breast cancer in the USA. This study evaluated the cost-effectiveness of inavolisib plus palbociclib and fulvestrant compared with palbociclib plus fulvestrant from the US payer perspective.

METHODS: We developed a partitioned survival model at a 28-day cycle length over 15-year time horizons to predict total costs, life-years, quality-adjusted life-years (QALYs), incremental cost-effectiveness ratio (ICER), and incremental cost-utility ratio (ICUR) at willingness-to-pay (WTP) threshold of $150,000 per QALY. Survival data were extracted from the INAVO120 clinical trial, costs and utilities were obtained from the department of Veterans Affairs, published literature and quality-of-life studies using the EQ-5D-5L scale. Uncertainty was addressed via scenario, one-way and probabilistic sensitivity analyses.

RESULTS: In the base-case, inavolisib plus palbociclib and fulvestrant resulted in 1.99 life-years and 1.43 QALYs at an incremental cost of $211,639.64 with an ICER of $106,595.61 per life-year and an ICUR of $148,417.37 per QALY. The utility value of progression-free survival was the most influential parameter on the base-case results. Alterations in each model parameter did not significantly impact on the conclusions. The probability of inavolisib plus palbociclib and fulvestrant was cost-effective at the WTP threshold of $150,000 was 54.59%.

CONCLUSION: Inavolisib plus palbociclib and fulvestrant may be a high-value treatment option for patients with PIK3CA-mutated, HR + HER2-, advanced breast cancer in the USA.",2026,"((PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR p110alpha[Title/Abstract] OR ""p110 alpha""[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K alpha inhibitor""[Title/Abstract] OR ""PI3K-alpha inhibitor""[Title/Abstract]) AND (resistance[Title/Abstract] OR resistant[Title/Abstract] OR sensitivity[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR combination[Title/Abstract] OR feedback[Title/Abstract] OR bypass[Title/Abstract])); ((alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract]) AND (combination[Title/Abstract] OR synergistic[Title/Abstract] OR synergy[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR resensitization[Title/Abstract] OR endocrine[Title/Abstract] OR HER2[Title/Abstract] OR ERBB[Title/Abstract] OR CDK4[Title/Abstract] OR mTOR[Title/Abstract] OR MEK[Title/Abstract] OR MAPK[Title/Abstract]))",include,"Connects PI3K-alpha/PIK3CA inhibitor context to resistance, sensitivity, combination, feedback, biomarker, or pathway-response concepts.",overturn_to_exclude,"Overturn to exclude: the abstract is mainly review, access/economic, formulation, broad clinical, or unrelated pathway context without actionable resistance or sensitization mechanism.",medium,stop
pmid-42518131,42518131,10.1007/s40265-026-02347-5,Emerging Strategies Targeting the PI3K/AKT/mTOR Pathway in HR+/HER2- Advanced Breast Cancer.,"Hormone receptor-positive (HR+), human epidermal growth factor receptor 2-negative (HER2-) breast cancer accounts for approximately 70% of breast cancer cases. Despite recent advances with cyclin-dependent kinase 4/6 inhibitors (CDK4/6i), resistance inevitably develops, often driven by activation of the phosphatidylinositol 3-kinase (PI3K)-AKT-mammalian target of rapamycin (mTOR) pathway. Genetic alterations such as PIK3CA mutations (present in ~ 45% of HR+/HER2- tumors), AKT1 mutations, and PTEN loss contribute to endocrine resistance and poor outcomes. This review summarizes emerging strategies targeting this pathway to overcome resistance in advanced disease. Isoform-specific PI3K inhibitors, including alpelisib and inavolisib, have demonstrated clinically meaningful progression-free survival benefits in PIK3CA-mutated populations, with inavolisib showing improved tolerability and efficacy. In contrast, pan-PI3K inhibitors such as buparlisib have been constrained by toxicity. Targeting downstream signaling, AKT inhibitors have also shown benefit: capivasertib has demonstrated clinical efficacy leading to US Food and Drug Administration approval, while ipatasertib has yielded encouraging results, particularly in tumors harboring PIK3CA, AKT1, or PTEN alterations. Mammalian target of rapamycin inhibitors, notably everolimus, have shown efficacy irrespective of mutation status. The dual PI3K-mTOR inhibitor (gedatolisib) has also shown promising progression-free survival benefit in a PIK3CA wild-type population. Next-generation agents, including mutant-selective PI3Kα inhibitors and bi-steric mTOR complex 1 inhibitors, are under active investigation. Optimal sequencing of these agents alongside endocrine therapy and CDK4/6i options remain a critical question, as does integration of genomic testing to guide therapy. Future directions include rational combination strategies, improved biomarker-driven selection, and novel modalities such as proteolysis-targeting chimeras (PROTACs). Collectively, these advances aim to enhance durability of response, minimize toxicity, and improve survival in HR+/HER2- metastatic breast cancer.",2026,"((PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR p110alpha[Title/Abstract] OR ""p110 alpha""[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K alpha inhibitor""[Title/Abstract] OR ""PI3K-alpha inhibitor""[Title/Abstract]) AND (resistance[Title/Abstract] OR resistant[Title/Abstract] OR sensitivity[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR combination[Title/Abstract] OR feedback[Title/Abstract] OR bypass[Title/Abstract])); ((alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract]) AND (combination[Title/Abstract] OR synergistic[Title/Abstract] OR synergy[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR resensitization[Title/Abstract] OR endocrine[Title/Abstract] OR HER2[Title/Abstract] OR ERBB[Title/Abstract] OR CDK4[Title/Abstract] OR mTOR[Title/Abstract] OR MEK[Title/Abstract] OR MAPK[Title/Abstract]))",include,"Names a PI3K-alpha inhibitor and links it to response, resistance, sensitivity, adaptive signaling, biomarker, or combination evidence.",confirm_include,"Confirm include: names a PI3K-alpha inhibitor and gives response, resistance, biomarker, adaptive-signaling, or combination/sensitization context.",high,advance_to_import
pmid-42505223,42505223,10.3390/curroncol33070421,"Evolving First-Line Endocrine Therapy in HR+/HER2- Metastatic Breast Cancer: CDK4/6 Inhibition, Biomarker-Guided Strategies and Emerging Therapeutic Paradigms.","Hormone receptor-positive (HR+), human epidermal growth factor receptor 2-negative (HER2-) metastatic breast cancer (MBC) is the most prevalent subtype of advanced breast cancer and is predominantly driven by estrogen receptor (ER) signaling. Endocrine therapy (ET) has become the backbone of first-line treatment; however, both intrinsic and acquired resistance limit long-term disease control. The introduction of cyclin-dependent kinase 4/6 (CDK4/6) inhibitors has fundamentally reshaped the therapeutic landscape even in subsets of patients with aggressive or symptomatic visceral metastatic disease. Advances in molecular profiling have also enabled more precise, adaptive therapy. Circulating tumor DNA (ctDNA)-based liquid biopsy now allows real-time detection of emerging resistance mutations, particularly in ESR1. Additionally, patients with PIK3CA-mutated tumors who had progressed on or within 12 months of completing adjuvant ET and had no prior systemic therapy for metastatic disease had better treatment outcomes when treated with the PI3K inhibitor inavolisib in combination with palbociclib and fulvestrant. Together, these developments mark a shift from fixed treatment sequencing toward a more dynamic, biomarker-driven approach in first-line HR+/HER2- MBC. Integration of CDK4/6 inhibitors with next-generation endocrine agents and liquid biopsy-guided therapy offers the potential to delay resistance, improve survival outcomes, and individualize treatment.",2026,"((PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR p110alpha[Title/Abstract] OR ""p110 alpha""[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract] OR RLY2608[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K alpha inhibitor""[Title/Abstract] OR ""PI3K-alpha inhibitor""[Title/Abstract]) AND (resistance[Title/Abstract] OR resistant[Title/Abstract] OR sensitivity[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR combination[Title/Abstract] OR feedback[Title/Abstract] OR bypass[Title/Abstract])); ((alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""GDC-0077""[Title/Abstract]) AND (combination[Title/Abstract] OR synergistic[Title/Abstract] OR synergy[Title/Abstract] OR sensitization[Title/Abstract] OR sensitizes[Title/Abstract] OR resensitization[Title/Abstract] OR endocrine[Title/Abstract] OR HER2[Title/Abstract] OR ERBB[Title/Abstract] OR CDK4[Title/Abstract] OR mTOR[Title/Abstract] OR MEK[Title/Abstract] OR MAPK[Title/Abstract])); ((PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (""PI3K inhibitor""[Title/Abstract] OR ""PI3K inhibitors""[Title/Abstract] OR ""PI3K-alpha inhibitor""[Title/Abstract] OR ""PI3K alpha inhibitor""[Title/Abstract]) AND (acquired resistance[Title/Abstract] OR resistance mechanism[Title/Abstract] OR adaptive resistance[Title/Abstract] OR feedback activation[Title/Abstract] OR bypass signaling[Title/Abstract] OR pathway rewiring[Title/Abstract] OR sensitization[Title/Abstract]))",include,"Names a PI3K-alpha inhibitor and links it to response, resistance, sensitivity, adaptive signaling, biomarker, or combination evidence.",confirm_include,"Confirm include: names a PI3K-alpha inhibitor and gives response, resistance, biomarker, adaptive-signaling, or combination/sensitization context.",high,advance_to_import
