paper_id,pmid,pmcid,doi,title,fulltext_access_route,fulltext_xml_url,fulltext_pdf_url,pmc_access_status,pmc_parse_status,pdf_needed,pdf_import_status,normalized_path,notes
pmid-42653655,42653655,PMC13516239,10.3390/ph19081154,Thymoquinone Potentiates Docetaxel-Induced Antitumor Activity with the Involvement of ROS and PI3K/AKT Pathway Modulation in Triple-Negative Breast Cancer Cells.,ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13516239.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42640608,42640608,,10.1080/1354750X.2026.2715050,"Integrated molecular, epigenetic, microbial and liquid biopsy biomarkers in colorectal cancer: implications for prognosis and precision therapy.",none,,,missing,not_attempted,yes,missing,,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42635598,42635598,,10.1158/1078-0432.CCR-26-1816,"Elacestrant in Combination with Everolimus for Estrogen Receptor-Positive, HER2-Negative Previously Treated Advanced Breast Cancer: Results from ELEVATE.",none,,,missing,not_attempted,yes,missing,,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42575435,42575435,,10.1016/j.jbc.2026.113426,Insulin receptor substrate 2 (IRS2) confers resistance to PI3K pathway inhibition in PIK3CA mutant breast cancer.,none,,,missing,not_attempted,yes,missing,,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42513228,42513228,PMC13415029,10.3390/molecules31142551,"Breast Cancer: Epidemiology, Molecular Classification, Diagnostics and Evolving Treatment Paradigms.",ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13415029.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42509693,42509693,,10.2174/0115748928444498260516065557,Innovative Therapeutic Strategies for Hormone-sensitive Breast Cancer: A Patent Landscape Review.,none,,,missing,not_attempted,yes,missing,,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42505223,42505223,PMC13409238,10.3390/curroncol33070421,"Evolving First-Line Endocrine Therapy in HR+/HER2- Metastatic Breast Cancer: CDK4/6 Inhibition, Biomarker-Guided Strategies and Emerging Therapeutic Paradigms.",ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13409238.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42500590,42500590,PMC13397341,10.32604/or.2026.085387,Research Advances in Drug Resistance Mechanisms to Anti-HER2 Therapy in HER2-Positive Breast Cancer.,ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13397341.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42499691,42499691,PMC13399991,10.1159/000552643,Comprehensive Liquid Biopsy Testing in Metastatic Hormone Receptor-Positive HER2-Negative Breast Cancer Patients: First Results from Routine Clinical Practice.,ncbi_pmc_xml,,,missing,unusable,yes,missing,,PMCID resolved from NCBI idconv. PMC XML body element is missing. Unusable XML deleted from run artifacts.
pmid-42494592,42494592,PMC13391319,10.3389/fonc.2026.1781401,Clinical features and treatment challenges of HER2-positive primary breast squamous cell carcinoma: a case report and literature review.,ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13391319.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42461627,42461627,PMC13377389,10.1001/jamanetworkopen.2026.23522,Novel Immunotherapy Agents in Early-Phase Trials for Head and Neck Cancer.,ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13377389.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42456830,42456830,,10.1016/j.bcp.2026.118262,"Core genes drive treatment resistance in triple-negative breast cancer: characteristics, mechanisms, intervention strategies.",none,,,missing,not_attempted,yes,missing,,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42456541,42456541,,10.1016/j.ejca.2026.116936,"Coexisting driver alterations in non-small cell lung cancer: Prevalence, clonal architecture, and impact on survival and progression.",none,,,missing,not_attempted,yes,missing,,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42449589,42449589,PMC13360249,10.3390/cancers18132042,A Real-World Study on the Effectiveness and Safety of Elacestrant in Patients with ESR1-Mutated Metastatic Breast Cancer Progressing After CDK4/6 Inhibitors and Endocrine Therapy.,ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13360249.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42445743,42445743,PMC13361340,10.2147/DDDT.S611371,Precision Endocrine-Based Combinations After CDK4/6 Inhibitor Progression in HR-Positive Metastatic Breast Cancer.,ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13361340.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42421540,42421540,,10.1080/07357907.2026.2696797,"Systematic Investigation of Key Drivers of Lung Adenocarcinoma: A Focus on Genes, Pathways, and miRNAs.",none,,,missing,not_attempted,yes,missing,,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42405409,42405409,,10.2174/0113895575463121260609115219,Medicinal Chemistry Perspectives on Molecular Targets and Targeted Therapeutic Strategies in Breast Cancer.,none,,,missing,not_attempted,yes,missing,,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42396524,42396524,PMC13321338,10.21203/rs.3.rs-10011569/v1,Alirocumab Plus Cemiplimab in Immunorefractory NSCLC: A Single Arm Phase 2 Study.,ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13321338.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42391607,42391607,PMC13451091,10.1093/oncolo/oyag242,Molecular tumor board-guided osimertinib therapy in EGFR L858R/Q701L-mutant lung adenocarcinoma supported by functional validation.,ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13451091.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42388639,42388639,PMC13318736,10.3389/fonc.2026.1844982,Case Report: Neoadjuvant chemoimmunotherapy achieving pathological complete response in two cases of stage III EGFR-mutant NSCLC with high PD-L1 expression.,ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13318736.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42351448,42351448,PMC13298351,10.3390/diagnostics16121790,"Post-CDK4/6 Inhibitor Therapeutic Approaches in Hormone Receptor-Positive, HER2-Negative Metastatic Breast Cancer: Current Evidence and Emerging Strategies-A Narrative Review.",ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13298351.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
pmid-42341421,42341421,,10.1016/j.bbrc.2026.154189,Functional characterization of PIK3CA E545A mutation in MCF-7 breast cancer cells reveals enhanced proliferation and resistance to Alpelisib.,none,,,missing,not_attempted,yes,missing,,No NCBI PMCID found. Alternate open-access lookup is deferred during PMC-learning to keep early full-text import focused and fast.
pmid-42339469,42339469,PMC13286564,10.1159/000552044,Use of Next-Generation Sequencing for Highly Endocrine-Sensitive Metastatic Breast Cancer to Inform Late-Phase Treatments with Sustained Response: A Case Report.,ncbi_pmc_xml,,,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC13286564.json,PMCID resolved from NCBI idconv. NCBI PMC XML downloaded and normalized.
